timestamp_iso8601,timestamp_epoch_ms,remote_ip,remote_port,payload
2025-10-24T08:54:39.082Z,1761296079082,10.0.0.191,3132,"345378,52989,3,PI,1,100,6396,6378,6388
345378,52990,3,PR,1,100,7279,7270,7284
345378,52991,3,PG,1,100,1052,1037,1047
345363,52992,2,EA,1,100,0.030305,0.030305
345363,52993,2,EL,1,100,26438.199219,26438.199219
345290,52994,1,T1,1,100,31.978
345305,52995,1,TH,1,100,30.243
345364,52996,2,AX,1,100,0.097,0.094
345364,52997,2,AY,1,100,-0.014,-0.012
345364,52998,2,AZ,1,100,1.024,1.028
345364,52999,2,GX,1,100,0.458,0.488
345364,53000,2,GY,1,100,0.671,0.641
345364,53001,2,GZ,1,100,0.275,0.275
"
2025-10-24T08:54:39.084Z,1761296079084,10.0.0.191,3132,"345364,53002,2,MX,1,100,-10,-9
345364,53003,2,MY,1,100,-18,-18
345364,53004,2,MZ,1,100,117,116
"
2025-10-24T08:54:39.112Z,1761296079112,10.0.0.191,3132,"345454,53005,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:39.216Z,1761296079216,10.0.0.191,3132,"345454,53005,4,EM,1,100,RS,RE,PS,MN
345458,53006,2,PI,1,100,6401,6385
345458,53007,2,PR,1,100,7289,7270
345458,53008,2,PG,1,100,1038,1047
345430,53009,1,EA,1,100,0.030305
345430,53010,1,EL,1,100,26438.199219
345423,53011,1,T1,1,100,31.990
345438,53012,1,TH,1,100,30.251
345484,53013,3,AX,1,100,0.096,0.096,0.096
345484,53014,3,AY,1,100,-0.014,-0.013,-0.011
345484,53015,3,AZ,1,100,1.026,1.023,1.027
345484,53016,3,GX,1,100,0.488,0.458,0.427
345484,53017,3,GY,1,100,0.671,0.702,0.702
"
2025-10-24T08:54:39.217Z,1761296079217,10.0.0.191,3132,"345484,53018,3,GZ,1,100,0.366,0.305,0.305
345484,53019,3,MX,1,100,-9,-9,-9
345484,53020,3,MY,1,100,-17,-18,-17
345484,53021,3,MZ,1,100,116,116,118
"
2025-10-24T08:54:39.265Z,1761296079265,10.0.0.191,3132,"345563,53022,1,SF,1,100,0.0000
345591,53023,3,PI,1,100,6390,6383,6396
345591,53024,3,PR,1,100,7272,7278,7289
345591,53025,3,PG,1,100,1034,1048,1051
345563,53026,2,EA,1,100,0.030305,0.030305
345563,53027,2,EL,1,100,26438.199219,26438.199219
345557,53028,1,T1,1,100,31.925
345571,53029,1,TH,1,100,30.198
345577,53030,2,AX,1,100,0.095,0.094
345577,53031,2,AY,1,100,-0.011,-0.013
345577,53032,2,AZ,1,100,1.028,1.027
345577,53033,2,GX,1,100,0.488,0.427
345577,53034,2,GY,1,100,0.671,0.671
"
2025-10-24T08:54:39.271Z,1761296079271,10.0.0.191,3132,"345577,53035,2,GZ,1,100,0.305,0.305
345577,53036,2,MX,1,100,-9,-8
345577,53037,2,MY,1,100,-17,-17
345577,53038,2,MZ,1,100,115,116
"
2025-10-24T08:54:39.316Z,1761296079316,10.0.0.191,3132,"345655,53039,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:39.420Z,1761296079420,10.0.0.191,3132,"345655,53039,4,EM,1,100,RS,RE,PS,MN
345671,53040,2,PI,1,100,6382,6391
345671,53041,2,PR,1,100,7259,7295
345671,53042,2,PG,1,100,1039,1038
345630,53043,1,EA,1,100,0.030305
345630,53044,1,EL,1,100,26438.400391
345690,53045,1,T1,1,100,32.003
345658,53046,2,AX,1,100,0.094,0.096
345658,53047,2,AY,1,100,-0.014,-0.014
345658,53048,2,AZ,1,100,1.025,1.026
345658,53049,2,GX,1,100,0.519,0.488
345658,53050,2,GY,1,100,0.671,0.641
345658,53051,2,GZ,1,100,0.305,0.305
345658,53052,2,MX,1,100,-9,-9
"
2025-10-24T08:54:39.421Z,1761296079421,10.0.0.191,3132,"345658,53053,2,MY,1,100,-18,-17
345658,53054,2,MZ,1,100,116,117
"
2025-10-24T08:54:39.578Z,1761296079578,10.0.0.191,3132,"345791,53055,3,PI,1,100,6388,6389,6376
345791,53056,3,PR,1,100,7291,7283,7282
345791,53057,3,PG,1,100,1046,1047,1040
345763,53058,2,EA,1,100,0.030304,0.030305
345763,53059,2,EL,1,100,26439.000000,26438.800781
345705,53060,1,TH,1,100,30.198
345777,53061,3,AX,1,100,0.097,0.095,0.094
345777,53062,3,AY,1,100,-0.014,-0.012,-0.012
345777,53063,3,AZ,1,100,1.027,1.027,1.028
345777,53064,3,GX,1,100,0.519,0.458,0.458
345777,53065,3,GY,1,100,0.641,0.641,0.702
345777,53066,3,GZ,1,100,0.275,0.305,0.305
"
2025-10-24T08:54:39.579Z,1761296079579,10.0.0.191,3132,"345777,53067,3,MX,1,100,-9,-10,-9
345777,53068,3,MY,1,100,-18,-18,-18
345777,53069,3,MZ,1,100,116,116,115
"
2025-10-24T08:54:39.579Z,1761296079579,10.0.0.191,3132,"345859,53070,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:39.680Z,1761296079680,10.0.0.191,3132,"345859,53070,4,EM,1,100,RS,RE,PS,MN
345897,53071,1,SF,1,100,0.0000
345871,53072,2,PI,1,100,6391,6395
345871,53073,2,PR,1,100,7285,7287
345871,53074,2,PG,1,100,1034,1048
345897,53075,2,EA,1,100,0.030305,0.030304
345897,53076,2,EL,1,100,26438.800781,26439.000000
345823,53077,1,T1,1,100,32.001
345838,53078,1,TH,1,100,30.200
345897,53079,3,AX,1,100,0.096,0.096,0.096
345897,53080,3,AY,1,100,-0.014,-0.012,-0.012
345897,53081,3,AZ,1,100,1.027,1.025,1.026
345897,53082,3,GX,1,100,0.519,0.488,0.427
"
2025-10-24T08:54:39.681Z,1761296079681,10.0.0.191,3132,"345897,53083,3,GY,1,100,0.671,0.671,0.641
345897,53084,3,GZ,1,100,0.336,0.336,0.336
345897,53085,3,MX,1,100,-9,-9,-9
345897,53086,3,MY,1,100,-17,-17,-19
345897,53087,3,MZ,1,100,116,117,116
"
2025-10-24T08:54:39.703Z,1761296079703,10.0.0.191,3132,"345991,53088,3,PI,1,100,6384,6391,6388
345991,53089,3,PR,1,100,7266,7287,7275
345991,53090,3,PG,1,100,1045,1041,1039
345963,53091,1,EA,1,100,0.030305
345963,53092,1,EL,1,100,26438.599609
345957,53093,1,T1,1,100,32.071
345971,53094,1,TH,1,100,30.200
345977,53095,2,AX,1,100,0.095,0.094
345977,53096,2,AY,1,100,-0.012,-0.013
345977,53097,2,AZ,1,100,1.027,1.027
345977,53098,2,GX,1,100,0.458,0.488
345977,53099,2,GY,1,100,0.671,0.641
345977,53100,2,GZ,1,100,0.305,0.305
345977,53101,2,MX,1,100,-9,-9
"
2025-10-24T08:54:39.704Z,1761296079704,10.0.0.191,3132,"345977,53102,2,MY,1,100,-18,-17
345977,53103,2,MZ,1,100,116,116
"
2025-10-24T08:54:39.720Z,1761296079720,10.0.0.191,3132,"346060,53104,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:39.825Z,1761296079825,10.0.0.191,3132,"346060,53104,4,EM,1,100,RS,RE,PS,MN
346071,53105,2,PI,1,100,6400,6379
346071,53106,2,PR,1,100,7285,7268
346071,53107,2,PG,1,100,1050,1043
346097,53108,2,EA,1,100,0.030305,0.030304
346097,53109,2,EL,1,100,26438.599609,26439.000000
346090,53110,1,T1,1,100,31.960
346105,53111,1,TH,1,100,30.281
346097,53112,3,AX,1,100,0.095,0.096,0.096
346097,53113,3,AY,1,100,-0.013,-0.013,-0.011
346097,53114,3,AZ,1,100,1.027,1.026,1.027
346097,53115,3,GX,1,100,0.458,0.458,0.458
346097,53116,3,GY,1,100,0.702,0.702,0.671
"
